Comment,Type,Designator,Quantity,Size,Footprint,LCSC,Fabrication Process,Example Link
100OHM-0603-0.25W-1%,Resistor,"R7,R9,R11,R13,R15",5,0603,lekirbot:0603-RES,C510086,Soldering,https://shopee.com.my/36values*20pcs-720pcs-0603-1ohm-10Mohm-SMD-Resistor-Kit-100-330-510-750-910-ohm-1k-3.3k-5.1k-7.5k-9.1k-10k-33k-etc.-new-original-i.1030205194.21794772362?sp_atk=48b80178-d350-4888-8729-14f97ae98e1c&xptdk=48b80178-d350-4888-8729-14f97ae98e1c
EG1213,Switch Slide,S2X0,1,EG1213,lekirbot:EG1213,,Soldering,https://shopee.com.my/1pcs-Horizontal-5Pin-Slide-Switch-SPDT-1P2T-2-Position-SK12D07-i.97601804.6874887535?sp_atk=d98acd89-31fb-477a-b5fe-7d6c82ed6f6f&xptdk=d98acd89-31fb-477a-b5fe-7d6c82ed6f6f
SW_Push,Switch Push,SW1,1,6mmx6mm,Button_Switch_THT:SW_PUSH_6mm,,Soldering,https://shopee.com.my/6x6x5mm-Push-Button-i.8822702.1554153708?sp_atk=b66dc066-3156-41e6-a441-b632bcfe5744&xptdk=b66dc066-3156-41e6-a441-b632bcfe5744
TB6612FNG,Motor Driver IC,U1,1,,ROB-14450:MODULE_ROB-14450,,Soldering,https://shopee.com.my/TB6612-DRV8833-Dual-Motor-Driver-1A-TB6612FNG-for-Arduino-Microcontroller-Better-than-L298N-i.736156185.20380310643?sp_atk=3635debc-2631-4be5-998b-878a2bda69b0&xptdk=3635debc-2631-4be5-998b-878a2bda69b0
QRE11131:1,Infrared Sensor,"U2,U5,U6,U7,U8",5,,lekirbot:QRE1113-1_1,C88224,Soldering,https://shopee.com.my/10pcs-lot-QRE1113GR-QRE1113-QRE1113G-SENSOR-OPTO-TRANS-REFL-SMD-PHOTO-In-Stock-i.304553259.8277616930?sp_atk=399a0815-72b8-4319-a03e-54c72603bbf1&xptdk=399a0815-72b8-4319-a03e-54c72603bbf1
N20 Motor,Motor,,2,,,,Assembly,https://shopee.com.my/GA12-N20-300-Geared-Motor-Rubber-Wheels-Kit-i.78840338.2707951229?sp_atk=450b3763-3f2f-4b93-9557-3fb7f1fc7e49&xptdk=450b3763-3f2f-4b93-9557-3fb7f1fc7e49
N20 Motor Bracket,Bracket,,2,,,,Assembly,https://shopee.com.my/GA12-N20-300-Geared-Motor-Rubber-Wheels-Kit-i.78840338.2707951229?sp_atk=450b3763-3f2f-4b93-9557-3fb7f1fc7e49&xptdk=450b3763-3f2f-4b93-9557-3fb7f1fc7e49
Wheel,Wheel,,2,,,,Assembly,https://shopee.com.my/GA12-N20-300-Geared-Motor-Rubber-Wheels-Kit-i.78840338.2707951229?sp_atk=450b3763-3f2f-4b93-9557-3fb7f1fc7e49&xptdk=450b3763-3f2f-4b93-9557-3fb7f1fc7e49
Arduino Nano,Arduino Nano,,1,,,,Assembly,https://shopee.com.my/ATmega328P-Nano-Compatible-CH340-USB-Mini-Cable-for-Arduino-Uno-i.33287405.461918182?sp_atk=ca93d994-3da3-4502-84c8-8423cb3f9457&xptdk=ca93d994-3da3-4502-84c8-8423cb3f9457
7.4V Battery Lipo,Battery,,1,,,,Assembly,https://shopee.com.my/Li-on-2s-7.4V-3000mAh-18650-Battery-Lipo-SM-2pin-3pin-T-Plug-JST-Connector-for-RC-Car-RC-Heli-RC-Boat-and-others-i.178847983.13019629444?sp_atk=93429065-d5b9-43a1-b312-3aac29ae0809&xptdk=93429065-d5b9-43a1-b312-3aac29ae0809
Lipo Battery Charger,Battery,,1,,,,Assembly,https://shopee.com.my/Li-on-2s-7.4V-3000mAh-18650-Battery-Lipo-SM-2pin-3pin-T-Plug-JST-Connector-for-RC-Car-RC-Heli-RC-Boat-and-others-i.178847983.13019629444?sp_atk=93429065-d5b9-43a1-b312-3aac29ae0809&xptdk=93429065-d5b9-43a1-b312-3aac29ae0809
USB Cable Programming,Cable,,1,,,,Assembly,https://shopee.com.my/ATmega328P-Nano-Compatible-CH340-USB-Mini-Cable-for-Arduino-Uno-i.33287405.461918182?sp_atk=ca93d994-3da3-4502-84c8-8423cb3f9457&xptdk=ca93d994-3da3-4502-84c8-8423cb3f9457
